gene,target,beta,se,ci_lower,ci_upper,p_value
LPCAT2,PCAT2,-0.007649214872033785,0.01888923512458739,-0.044813325178417275,0.0295148954343497,0.685786648101119
CLEC12A,CL12A,0.007817667694214122,0.005875244725954939,-0.003741733289056595,0.01937706867748484,0.18427325233051248
CREB3L1,CR3L1,0.01402459118230999,0.019463287952174103,-0.024268954088772207,0.052318136453392186,0.4717073467902744
ERN1,ERN1,-0.04484855347069427,0.01173970334889617,-0.06794613404211125,-0.021750972899277285,1.604105311063655e-4
NAGS,NAGS,0.06303760525873359,0.021185036368183755,0.021356561889905007,0.10471864862756217,0.0031492727659764262
LRCH4,LRCH4,0.0011775026935624152,0.01647072399874682,-0.031228245844061104,0.03358325123118593,0.9430523510136082
CHCHD10,CHC10,0.007120051301284707,0.02055589169886563,-0.0333231652452827,0.047563267847852114,0.729290544997197
GSTT2B,GSTT2,-0.05636557068960737,0.017011422724310804,-0.08983513080810451,-0.02289601057111023,0.0010283593783661927
ATF6,ATF6A,-0.030800209890183127,0.03697947302775962,-0.1035564229189842,0.04195600313861794,0.40552809856140126
AQP4,AQP4,-0.034981528871321145,0.01579477220322558,-0.06605735870525664,-0.0039056990373856418,0.02748778819738181
ADH7,ADH7,0.043708487334819995,0.0161761249737922,0.011882355207673327,0.07553461946196666,0.007262619596307139
KRT7,Keratin 7,-0.008846197578499306,0.01565085940165225,-0.03963888247846074,0.02194648732146213,0.572323115159628
ATF6B,ATF6B,-0.01768174242564695,0.023186562151509577,-0.06330073905208347,0.02793725420078958,0.44627753555534866
CA8,Carbonic Anhydrase VIII,-0.033259445053983226,0.015138342607920489,-0.06304376563794713,-0.0034751244700193216,0.028741436019137923
PLSCR3,PLS3,0.01807035925015311,0.015983901785316258,-0.013377578432758715,0.049518296933064934,0.25910551587537445
PQBP1,PQBP1,-0.008011824704693955,0.015217094443696866,-0.03795108760857286,0.021927438199184947,0.5989079219320641
GPR135,GP135,0.005762297977406171,0.0142574693649917,-0.02228892594328761,0.033813521898099955,0.6863676404958761
ISL1,ISL1,-0.041719233709263566,0.027790426653380548,-0.09639622167598808,0.012957754257460936,0.13429693682870986
