gene,target,full_name,beta,se,t_stat,p_value,FDR
PDGFRA,PDGFRA,Platelet-derived growth factor receptor alpha,-0.07238816552437974,0.03437018215077691,-2.1061327288526885,0.035387116538760144,0.5873081774882892
RBM19,RBM19,Probable RNA-binding protein 19,0.11299497401301481,0.05355554818589058,2.1098649503280367,0.03506366165640333,0.5873081774882892
APOL3,APOL3,Apolipoprotein L3,-0.0940919265956108,0.04465259767941333,-2.10719939008142,0.035294414664337796,0.5873081774882892
DCK,DCK,Deoxycytidine kinase,-0.030509343149344406,0.014479621050474142,-2.107053979036652,0.035307039885135186,0.5873081774882892
ADH1A,ADH1A,Alcohol dehydrogenase 1A,-0.09904246197596106,0.04706634021177017,-2.104316195615161,0.03554546740653741,0.5879763528808963
NEDD9,CASL,Enhancer of filamentation 1,0.04718688597225514,0.022482337816695532,2.098842493915995,0.036026285484474764,0.5932291503003619
SOD1,SOD,Superoxide dismutase [Cu-Zn],0.09195174111380523,0.04394011598882451,2.092660409389719,0.03657599440068221,0.5932291503003619
PRSS37,PRS37,Probable inactive serine protease 37,0.11968706253401748,0.057154474274288145,2.094097864668149,0.036447541984385434,0.5932291503003619
SEC61B,SC61B,Protein transport protein Sec61 subunit beta,0.06092155950126424,0.029045158302395287,2.0974772754548967,0.03614706971114039,0.5932291503003619
PRSS57,PRS57,Serine protease 57,0.06399384728430742,0.03058045017659869,2.092639150658348,0.036577896995824685,0.5932291503003619
IGF1,IGF-I,Insulin-like growth factor I,-0.10077770637947657,0.04810764476075255,-2.094837668330286,0.036381582545583144,0.5932291503003619
PTGR1,LTB4DH,Prostaglandin reductase 1,-0.10173922951876918,0.04868548484708131,-2.089724069470132,0.03683958905713219,0.5955334867385103
LGR4,LGR4,Leucine-rich repeat-containing G-protein coupled receptor 4,0.11803795641091994,0.05655765077493306,2.087037824124682,0.03708214987776105,0.5975146415578391
CA10,Carbonic Anhydrase X,Carbonic anhydrase-related protein 10,-0.06757194546751331,0.0324358190564369,-2.083250783645731,0.037426421290829466,0.598012119357758
